[00:00:21] 上次,我们说到了红飞树的定义,以及插入的各种调整策略
[00:00:26] 最后,还完整的模拟了红飞树的购劲过程
[00:00:29] 今天,我们来说一下红飞树的山厨
[00:00:32] 山厨,相对于插入,要复杂一些
[00:00:35] 不过小货伴们只要多一些耐心,像你这个视频会让你说过妈妈
[00:00:39] 因为山厨首先要采用二差搜索的方法
[00:00:43] 咱们先简单复极一下二差搜索的山厨
[00:00:46] 如果山厨是夜界点,那么直接山掉就可以了
[00:00:50] 如果山厨是只有桌子树或者只有幽子树的节点
[00:00:54] 比如说山厨今年四,那么只需要让它的幽子树带替它就可以了
[00:00:59] 如果要山厨的左右子树都有,比如山厨掉跟节点久
[00:01:04] 那这个时候,咱们就需要找到它的直接前区,也就是桌子树中最对了
[00:01:09] 或者找到它的直接后级,也就是它幽子树最小的,去体谈
[00:01:14] 比如说咱们用直接后级
[00:01:16] 那么用十替换掉山厨的节点久
[00:01:19] 然后山厨掉原来的节点十就可以了
[00:01:21] 因为它是夜子节点,咱们直接山掉就可以了
[00:01:24] 咱们会发现这个问题呢,它其实最终是转换成了山厨掉夜界点
[00:01:29] 当然,咱们也可以找节点久的直接前区,也就是节点七
[00:01:34] 咱们先把七替换过去
[00:01:36] 然后山厨掉原来的节点七
[00:01:38] 因为它只有桌子树,咱们让它的桌子树带替它就可以了
[00:01:43] 咱们会发现了,如果要山厨的节点左右子树都有
[00:01:47] 那最后还是转换成了前两种情况
[00:01:50] 那么红黑树的山厨呢,其实也是一样的
[00:01:53] 采用和二扎树的树同样的方法,去做山厨
[00:01:56] 只过山完了以后啊
[00:01:58] 如果破坏了红黑树的性质,咱们就需要进行一些调转
[00:02:02] 这对于左右子树都有这种情况呢
[00:02:05] 因为它最终一定会转发成前两种情况
[00:02:08] 所以呢,咱们只需要讨论前两种情况,山厨后的调整策略就可以了
[00:02:13] 如果要山厨的节点只有桌子树或者只有有子树
[00:02:17] 对于红黑树来说呢,因为它自身性质的约树按
[00:02:21] 导致只可能存在两种情况,也就是一黑一红
[00:02:25] 红呢,要么在黑的左边,要么在黑的右边
[00:02:28] 为什么只可能有这两种情况呢?
[00:02:31] 咱们比如说,在实现面再加一个红节点啥
[00:02:35] 那么会直接違反不同的性质,如果啥呢是黑色的
[00:02:39] 那么就会違反黑路同的性质,因为七只有子树呢
[00:02:43] 左子树是空的,显然右子树就会多出于黑节点了
[00:02:47] 也就是说,它就只能是这两个节点,没办法再多了
[00:02:52] 那注意啊,咱们可不能往左子树上去加
[00:02:55] 咱们现在讨论的是只有左子树或者只有有子树的情况
[00:02:59] 能为什么必须是一黑一红呢?能不能是一红一黑呢?
[00:03:02] 是不可能的,因为红色节点不管是在它的左子树上
[00:03:07] 还是在它的右子树上加一个黑节点,都会直接違反黑路同
[00:03:11] 那也更不可能加红节点对吧,也会違反红红
[00:03:15] 所以红色节点呢,是不可能只有左子树或者只有有子树的
[00:03:19] 所以就只存在屏幕上的两种情况
[00:03:22] 那么对于红黑树这种情况呢?咱们就可以改成只有左孩子或者只有右孩子了
[00:03:28] 因为它不能再加节点了嘛
[00:03:30] 那举个例子,比如山族到屏幕上的节点17
[00:03:33] 那这里能为了保持减节,咱们暂时隐藏掉了空间点
[00:03:37] 咱们会发现它只有右孩子,那直接让它的孩子带替过来就可以了
[00:03:43] 那因为山族让的是一个黑节点,那山族后呢,经过十九的路径,必然会少一个黑节点
[00:03:50] 导致呢,違反黑路同的性质
[00:03:52] 那我们呢,只需要把带替过来的红节点十九,便黑就可以了
[00:03:56] 这样就不会让一个黑节点,有右恢复了黑路同的性质
[00:04:01] 咱们之前讲了红黑树插入融一破坏不同红这个性质,但是对于山族呢,这是更容易破坏黑路同这个性质
[00:04:09] 也就是说对于只有左孩子或者只有右孩子这种情况
[00:04:13] 咱们只需要将孩子带替过来,然后便黑就可以了
[00:04:17] 那么对于山族没有孩子的节点,那这个时候咱们就得看山的是红节点,好像黑节点
[00:04:24] 如果山族的是红节点,那就非常简单
[00:04:27] 比如说咱们现在要山族红节点23,那么直接将他山掉就可以了
[00:04:31] 因为不会改变黑节点的数量,所以说不会破坏红维树的性质
[00:04:36] 我以后就不需要任何调整,但是对于山族没有孩子的黑色节点来说就比较麻烦了
[00:04:43] 因为山族之后啊必然会破坏黑路同,一定是需要调整的
[00:04:48] 那山族没有孩子的黑色节点也是红飞树山族中最有于复杂的一个内容
[00:04:53] 这里强调一下,我这里说的孩子是不包括空节点的
[00:04:58] 比如咱们要山族屏幕上的节点时,那么山族以后这里就会变成空
[00:05:03] 同时也会导致红色这条路会少一个黑节点,从而破坏了黑路同
[00:05:08] 非常的够更方便的理解调整的过程
[00:05:12] 咱们这里引入一个双黑节点的概念
[00:05:16] 因为山族以后所有经过它的路径都会少一个黑色节点
[00:05:20] 那么咱们就假设上这个节点具有两重黑色
[00:05:24] 这样咱们后面调整的任务就是将这个双黑消除或者说让它变成单黑节点
[00:05:29] 所以大家要注意,如果山族的是没有孩子的黑色节点
[00:05:33] 就会出现双黑节点
[00:05:35] 咱们后面的目的也需要让这个双黑节点双黑节点双黑节点
[00:05:39] 那么遇到双黑节点时,咱们要根据它的兄弟的情况去做调整
[00:05:44] 比如说屏幕上把这个双黑节点的兄弟就是减5
[00:05:47] 兄弟是有可能是黑色,有可能是红色
[00:05:51] 咱们先看兄弟是黑色的情况
[00:05:53] 比如说屏幕上这个红黑树
[00:05:55] 咱们用地表示要刪除的减点
[00:05:58] 地就是底泪上的所写
[00:06:00] 那么刪除它之后就会变成一个双黑节点
