[00:00:13] 之前讲到二差搜索数
[00:00:15] 在一般情况下可以均义漏奔的效率
[00:00:17] 高效的维护,插照,插入,刪除这三个操作
[00:00:21] 但是当数据本来就取的时候
[00:00:23] 购建了二差搜索,就会变成练表的状态
[00:00:26] 那效率就会退化账的欧恩
[00:00:28] 后来我没有讲到AVA也有数
[00:00:31] 他们通过旋转操作,实刻让数保持平衡状态
[00:00:35] 从而避免了二差搜索,刚刚出现的极端情况
[00:00:39] 咱们今天要讲到红黑树,是另外一种平衡二差搜索数
[00:00:44] 和AVA而数一样,它都是对二差搜索进行了平衡化
[00:00:48] 只不过对平衡的定义和策略不太一样
[00:00:51] 红黑树,首先是一颗二差搜索
[00:00:55] 也就是所有的左紫数,都小一个人
[00:00:58] 所有的右紫数都大于跟
[00:01:00] 在这个基础上,它引入了红黑两种颜色
[00:01:03] 相对于给每个监点额外打了个标记
[00:01:06] 其中跟监点和叶子监点必须得是黑色
[00:01:09] 大家注意,这里的叶子监点呢,值得是空戒点,也就是长方形的监点
[00:01:14] 同时所有的红色监点,左右孩子都必须得是黑色
[00:01:19] 换句话说,就是从上到下,不能出现连续的两个红色监点
[00:01:24] 最后还需要满足从任意戒点,到他叶子监点所有路底上的
[00:01:29] 黑色监点数量都是相同的
[00:01:31] 比如说左边的数中,咱们会发现所有从跟到叶的路监当中,都有三个黑色监点
[00:01:37] 注意空戒点也是黑色啊
[00:01:39] 红黑数必须同时满足最四个性质才可以安
[00:01:43] 咱们会发现相对于AW要说来说红黑数的性质要跟复杂一点
[00:01:47] 那么有一个比较流行的口觉,发明大家记忆安
[00:01:50] 就是左根要,跟叶黑不红红黑路通
[00:01:55] 那左根要呢,就是他得是二差搜索数
[00:01:58] 跟叶黑呢意思就是跟叶点和叶子监点,叶子监指的是空戒点
[00:02:03] 努点是黑色,部红红呢指的就是没有连续的两个红色监点
[00:02:08] 可天路通呢,意思就是任意叶点
[00:02:10] 到他叶子监点所有路监上的黑子监点数量都是相同的
[00:02:15] 咱们刚刚说叶子监点指都是空戒点对吧
[00:02:18] 那这些空戒点华在这是起什么作用呢
[00:02:21] 举个例子,比如说咱们娶掉屁幕上这个数缩的空戒点
[00:02:26] 回发现从更到业所有陆洁上都是三个黑色阶点
[00:02:30] 而且也满足红黑树的其他性质
[00:02:33] 看起来了,它好像就是一个红黑树
[00:02:35] 但是当咱们显示出空间点之后
[00:02:38] 咱会发现,其实有两条路的黑色阶点
[00:02:41] 它是要比其他陆洁少一个的
[00:02:43] 也就是说,这颗树它并不是一个红黑树
[00:02:47] 所以说,我们可以认为这些空间点
[00:02:49] 可以帮助咱们旅轻缩的陆洁
[00:02:51] 咱们要确保所有陆洁的黑镜的树量都相同才可以
[00:02:56] 同时,由于红黑树的性质,使得它最长的陆洁
[00:03:00] 绝不会超过最短陆洁的两倍
[00:03:02] 比如说,咱们看左边的树
[00:03:04] 最短陆洁,一定全部都是黑色阶点
[00:03:07] 咱们可以发现,这里有三个阶点
[00:03:09] 当然,这里为了看起来跟大家解决
